name,quantity
Chicken,1.2 kg
Onion,5 thinly sliced
Tomatoes,2 finely chopped
Garlic,8 cloves chopped
Ginger paste,1 tbsp
Vegetable oil,¼ cup
Cumin seeds,2 tsp
Coriander seeds,3 tsp
Turmeric powder,1 tsp
Chilli powder,1 tsp
Green chilli,2
Yogurt,1 cup
Cream,¾ cup
fenugreek,3 tsp Dried
Garam masala,1 tsp
Salt,To taste
Chicken,8 oz
Salt,pinch
Pepper,pinch
Ginger Cordial,1 tsp
Ginger,1 tsp
Spring Onions,1 tbs
Rice,1/2 cup
Water,8 cups
Coriander,2 oz
Chicken,450 grams Boneless skin
Ginger,1 tablespoon
Garlic,1 clove
Soy sauce,2 tablespoons
Sake,1 tablespoon
Granulated sugar,2 teaspoon
Potato starch,1/3 cup
Vegetable oil,1/3 cup
Lemon,1/3 cup
Olive Oil,1 tbs
Mushrooms,300g
Chicken Legs,4
Passata,500g
Chicken Stock Cube,1
Black Olives,100g
Parsley,Chopped
lemons,2 Juice
paprika,4 tsp
red onions,2 finely chopped
chicken thighs,16 skinnless
vegetable oil,For brushing
Greek yogurt,300ml
ginger,large piece
garlic clove,4
garam masala,¾ tsp
ground cumin,¾ tsp
chilli powder,½ tsp
turmeric,¼ tsp
Olive Oil,1 tbsp
Onion,1 chopped
Chicken Breast,200g
Ginger,pinch
Harissa Spice,2 tblsp
Dried Apricots,10
Chickpeas,220g
Couscous,200g
Chicken Stock,200ml
Coriander,Handful
Sake,2 tbs
Soy Sauce,2 tbs
Sesame Seed Oil,2 tbs
Corn Flour,2 tbs
Water,2 tbs
Chicken,500g
Chilli Powder,1 tbs
Rice Vinegar,1 tsp
Brown Sugar,1 tbs
Spring Onions,4 Chopped
Garlic Clove,6 cloves
Water Chestnut,220g
Peanuts,100g
Chicken,1.5kg
Butter,25g
Olive Oil,6 tblsp
Red Onions,2 sliced
Red Pepper,3 Large
Chorizo,130g
Sun-Dried Tomatoes,8
Garlic,6 cloves sliced
Basmati Rice,300g
Tomato Puree,drizzle
Paprika,½ tsp
Bay Leaves,4
Thyme,Handful
Chicken Stock,350ml
Dry White Wine,180g
Lemons,2
Salt,to serve
Pepper,to serve
Potatoes,1.5kg
Butter,30g
Double Cream,5 tblsp
Egg Yolks,2
Shallots,7
Carrots,3 chopped
